OMR Version,Policy # (masked),Odom Reading 1 (Previous),Odom Reading 1 (Update),Odom Reading 2 (Previous),Odom Reading 2 (Update),Odom Reading 3 (Previous),Odom Reading 3 (Update),Odom Reading 4 (Previous),Odom Reading 4 (Update)
Sign Top,4157,0,18350,0,35928,,,,
Sign Top,4158,37582,83116,17753,43763,,,,
Sign Bottom,4159,48295,50607,,,,,,
Sign Bottom,4160,158032,165163,,,,,,
Sign Top,4161,7068,9047,12154,20855,,,,
Sign Top,4162,24000,50084,,,,,,
Sign Bottom,4163,105033,153740,,,,,,
Sign Top,4164,45000,68425,,,,,,
Sign Bottom,4165,146324,155915,30446,47869,,,,
Sign Top,4166,18985,58517,,,,,,
Sign Top,4167,50875,83868,110339,113577,,,,
Sign Bottom,4168,59476,86723,200373,249094,,,,
Sign Bottom,4169,81254,126798,,,,,,
Sign Bottom,4170,313668,356730,5270,41281,85217,132118,,
Sign Bottom,4171,89676,134919,,,,,,
Sign Bottom,4172,138271,151693,,,,,,
Sign Bottom,4173,88956,104099,26335,65008,48951,86457,,
Sign Top,4174,130756,162313,15201,50179,,,,
Sign Top,4175,49363,79232,,,,,,
Sign Top,4176,7,2067,,,,,,
Sign Top,4177,76720,108732,163000,192988,,,,
Sign Bottom,4178,9189,11281,,,,,,
Sign Top,4179,63157,70431,35966,73941,,,,
Sign Top,4180,0,29919,0,12804,,,,
Sign Top,4181,0,4094,56000,93440,72000,77925,,
Sign Bottom,4182,101875,129745,,,,,,
Sign Bottom,4183,21403,41069,43119,53721,,,163029,189234
Sign Top,4184,18960,28895,,,,,,
Sign Top,4185,22808,33462,17957,25983,,,,
Sign Top,4186,16086,46869,,,,,,
Sign Top,4187,86000,119019,14495,16578,35892,64236,,
Sign Top,4188,9000,38002,63000,92084,130000,171537,,
Sign Bottom,4189,198367,231356,64154,85134,,,,
Sign Bottom,4190,28054,56855,132111,161424,,,,
Sign Bottom,4191,83704,94288,111450,124155,,,,
Sign Bottom,4192,38161,57327,,,,,,
Sign Bottom,4193,36536,45847,53930,99707,,,,
Sign Bottom,4194,110214,121173,,,,,,
Sign Bottom,4195,8157,29704,,,,,,
Sign Bottom,4196,37261,82213,21571,37083,,,,
Sign Bottom,4197,196424,200633,,,,,,
Sign Top,4198,100000,149435,10000,26271,,,,
Sign Top,4199,58718,68975,,,,,60000,108707
Sign Top,4200,41212,71286,,,,,,
Sign Top,4201,107876,124044,43114,61410,,,69000,108661
Sign Top,4202,36151,71426,,,,,,
Sign Bottom,4203,100507,108459,,,,,,
Sign Bottom,4204,28243,42319,,,,,,
Sign Bottom,4205,74032,82715,,,,,,
Sign Top,4206,1075,29936,,,,,,
Sign Bottom,4207,161609,180581,,,,,,
Sign Bottom,4208,31545,62088,,,,,,
Sign Bottom,4209,119876,122182,,,,,,
Sign Bottom,4210,23990,24711,107038,145727,,,,
Sign Bottom,4211,40891,48994,41342,78582,,,,
Sign Bottom,4212,42339,77548,57135,70317,,,,
Sign Bottom,4213,17485,40198,,,,,,
Sign Bottom,4214,83488,102626,,,,,,
Sign Bottom,4215,15210,20173,3730,35293,,,,
Sign Bottom,4216,50410,72230,65684,86214,,,,
Sign Bottom,4217,18222,29537,,,,,,
Sign Bottom,4218,68837,94560,147408,188813,,,,
Sign Bottom,4219,79585,116858,114306,117780,,,,
Sign Top,4220,181,761,50891,80373,,,,
Sign Bottom,4221,28789,62147,138335,173163,,,,
Sign Top,4222,52030,65577,,,,,,
Sign Top,4223,22238,71160,,,,,,
Sign Top,4224,66738,87685,,,,,,
Sign Bottom,4225,24909,36023,113901,117121,,,,
Sign Bottom,4226,99667,108600,,,,,181000,206406
Sign Bottom,4227,134457,151742,117936,132710,103822,115494,,
Sign Top,4228,94305,133057,,,,,,
Sign Top,4229,19646,34836,50512,79820,,,,
Sign Top,4230,81234,117231,72736,84583,,,,
Sign Top,4231,30000,71909,,,,,,
Sign Top,4232,38396,72724,82822,87001,,,,
Sign Top,4233,73200,120491,0,15780,,,,
Sign Bottom,4234,76200,120438,,,,,,
Sign Bottom,4235,67016,72889,,,,,,
Sign Top,4236,54668,102032,,,,,,
Sign Top,4237,29888,50913,,,,,,
Sign Bottom,4238,62804,110601,,,,,,
Sign Bottom,4239,52449,83999,,,,,,
Sign Top,4240,55554,61645,,,,,,
Sign Bottom,4241,49886,49969,,,,,,
Sign Top,4242,71851,111738,,,,,,
Sign Top,4243,82082,130116,,,,,,
Sign Bottom,4244,63682,66491,,,,,,
Sign Top,4245,134000,147291,33000,39925,,,,
Sign Top,4246,300525,325389,,,6987,50134,,
Sign Top,4247,27000,70520,,,54000,65708,,
Sign Bottom,4248,12483,21886,84117,114592,,,,
Sign Top,4249,162712,187063,56890,106072,,,,
Sign Top,4250,46926,55942,,,,,,
Sign Top,4251,93161,143008,78000,78628,,,,
Sign Bottom,4252,38382,75238,53464,53823,,,,
Sign Bottom,4253,1073,46569,53446,68472,,,,
Sign Top,4254,65252,95636,35208,57578,,,,
Sign Bottom,4255,89515,115386,,,,,,
Sign Bottom,4256,34639,43657,,,,,,
Sign Bottom,4257,1288,21095,74209,111886,,,,
Sign Bottom,4258,116298,131524,,,,,,
Sign Top,4259,60506,105759,210572,231497,,,,
Sign Top,4260,3940,27620,,,67990,109409,45000,59274
Sign Bottom,4261,71042,115803,17010,19973,,,,
Sign Top,4262,81227,122891,,,,,,
Sign Bottom,4263,107604,130914,,,,,,
Sign Bottom,4264,90772,93423,,,,,,
Sign Top,4265,43596,46528,,,,,,
Sign Top,4266,45087,78152,29281,36917,,,,
Sign Top,4267,48886,60589,,,,,,
Sign Top,4268,78000,82812,,,,,,
Sign Bottom,4269,124300,126813,40638,90144,,,,
Sign Top,4270,27830,71311,,,,,,
Sign Bottom,4271,88116,111729,121191,124493,,,,
Sign Top,4272,401,27803,152,34192,,,,
Sign Top,4273,50100,81220,163000,193428,,,,
Sign Top,4274,316,9446,8842,32707,,,,
Sign Top,4275,151021,195301,,,,,,
Sign Bottom,4276,91268,119705,20279,64353,,,,
Sign Bottom,4277,32515,77528,,,,,,
Sign Top,4278,150000,195048,10000,44882,,,,
Sign Top,4279,35209,43786,20630,23118,,,,
Sign Top,4280,58000,97582,130000,163811,,,,
Sign Top,4281,102929,119297,34911,50865,,,,
Sign Bottom,4282,52751,72769,,,,,,
Sign Top,4283,25238,39512,,,,,,
Sign Bottom,4284,26763,58571,,,,,,
Sign Top,4285,23000,65639,112843,132543,,,,
Sign Top,4286,42604,81477,,,,,,
Sign Bottom,4287,59753,77746,73105,87123,,,,
Sign Bottom,4288,118217,158790,,,,,,
Sign Top,4289,49093,64231,,,,,,
Sign Top,4290,230,24433,70102,94670,,,,
Sign Bottom,4291,203500,226379,,,,,,
Sign Top,4292,705,45666,,,,,,
Sign Top,4293,767,38923,,,,,,
Sign Bottom,4294,26833,31750,76400,119355,,,,
Sign Top,4295,71453,120172,34841,36537,,,,
Sign Bottom,4296,560,13385,,,,,,
Sign Top,4297,92100,106490,,,,,,
Sign Bottom,4298,74539,82252,,,,,,
Sign Top,4299,37820,51586,,,,,,
Sign Bottom,4300,73703,101221,12106,14267,,,,
Sign Bottom,4301,165950,213819,,,,,,
Sign Top,4302,8677,39996,,,,,,
Sign Bottom,4303,38807,70255,44621,92001,,,,
Sign Bottom,4304,124349,144653,105034,135460,122727,146834,,
Sign Bottom,4305,137644,166563,,,,,,
Sign Bottom,4306,114918,157131,87334,104696,,,,
Sign Bottom,4307,131648,170109,57630,87709,,,,
Sign Top,4308,2165,37382,880,30656,,,,
Sign Top,4309,82101,107908,,,,,,
Sign Bottom,4310,52002,86335,26410,73392,,,,
Sign Bottom,4311,157872,176489,117989,155901,,,,
Sign Bottom,4312,17235,38619,,,,,,
Sign Top,4313,0,48929,,,,,,
Sign Bottom,4314,41411,66669,,,,,,
Sign Bottom,4315,111500,125637,,,,,,
Sign Bottom,4316,99000,118974,,,,,,
Sign Bottom,4317,15174,63609,11643,40437,,,,
Sign Top,4318,145832,167590,47000,63184,,,,
Sign Top,4319,199816,204917,,,,,,
Sign Top,4320,741,17763,47103,93513,,,,
Sign Top,4321,180000,195911,130000,166489,,,,
Sign Bottom,4322,49909,81309,102772,115800,,,,
Sign Bottom,4323,62652,89529,56083,84211,,,,
Sign Top,4324,104863,144749,,,,,,
Sign Top,4325,47516,48130,24797,38980,,,,
Sign Bottom,4326,42326,82281,,,,,,
Sign Top,4327,90000,126843,60000,72060,,,,
Sign Top,4328,60072,69898,97054,134341,,,,
Sign Bottom,4329,177342,221120,,,,,,
Sign Bottom,4330,104447,132011,,,,,,
Sign Bottom,4331,93974,104242,87442,128979,95156,129982,,
Sign Top,4332,10,15759,45875,65142,,,,
Sign Top,4333,155100,158520,,,,,,
Sign Bottom,4334,49644,64488,34327,37566,,,,
Sign Top,4335,85255,135110,,,,,,
Sign Bottom,4336,29173,49755,,,,,,
Sign Top,4337,68077,77942,271,6546,,,,
Sign Bottom,4338,45842,62055,11364,28385,,,,
Sign Top,4339,28904,59178,154465,195846,145642,160324,,
Sign Bottom,4340,27400,28627,,,,,,
Sign Bottom,4341,80000,113403,,,,,,
Sign Top,4342,18000,18864,15000,39833,,,,
Sign Top,4343,45000,48948,,,72000,86183,,
Sign Bottom,4344,63641,83708,45285,95045,,,,
Sign Bottom,4345,45995,93978,,,,,,
Sign Top,4346,19001,65246,,,,,,
Sign Bottom,4347,163770,208349,25424,72375,,,92215,106356
Sign Top,4348,97484,138999,,,,,,
Sign Top,4349,52344,71694,50430,86982,,,,
Sign Bottom,4350,98974,99568,,,,,,
Sign Bottom,4351,64935,104878,,,,,,
Sign Top,4352,150212,179916,,,,,,
Sign Top,4353,34076,61596,,,,,,
Sign Top,4354,53900,68445,,,,,,
Sign Top,4355,117811,144366,32348,73592,,,,
Sign Bottom,4356,88489,135143,,,,,,
Sign Bottom,4357,27165,69224,,,,,,
Sign Bottom,4358,67012,73101,,,,,80000,126074
Sign Bottom,4359,59977,77854,127872,148403,27090,41251,106443,146048
Sign Top,4360,39,12647,128521,138987,,,,
Sign Top,4361,48321,58015,,,,,140000,187870
Sign Top,4362,51759,86801,51576,84651,,,,
Sign Top,4363,91791,133580,,,30083,39541,,
Sign Bottom,4364,34300,51580,,,,,,
Sign Bottom,4365,7007,29134,11845,28052,,,,
Sign Top,4366,16312,66233,86848,87958,65231,93970,,
Sign Top,4367,85406,135239,92000,97981,,,,
Sign Top,4368,50176,67527,47670,88869,,,,
Sign Bottom,4369,47848,69662,,,,,,
Sign Top,4370,91753,107593,,,,,,
Sign Top,4371,36910,58295,,,,,,
Sign Bottom,4372,18469,26125,136970,175896,,,,
Sign Bottom,4373,32140,36338,,,,,,
Sign Top,4374,113636,145387,10786,30035,,,,
Sign Bottom,4375,14990,30414,16883,20970,,,,
Sign Top,4376,20,12106,,,,,,
Sign Top,4377,22000,35426,,,23000,28449,,
Sign Bottom,4378,93220,139177,,,,,,
Sign Bottom,4379,58849,73744,,,,,11476,34143
Sign Top,4380,36877,59312,1749,50617,,,,
Sign Bottom,4381,44779,84335,,,,,,
Sign Bottom,4382,78533,109793,,,,,,
Sign Bottom,4383,109120,158914,40473,85623,,,,
Sign Bottom,4384,20435,31693,,,,,,
Sign Bottom,4385,38402,63945,,,,,,
Sign Top,4386,167365,176982,,,,,,
Sign Bottom,4387,11477,41878,,,,,,
Sign Bottom,4388,27618,63327,36607,74950,,,,
Sign Bottom,4389,74824,78216,,,,,,
Sign Bottom,4390,105022,129375,,,,,,
Sign Top,4391,50000,93628,,,,,,
Sign Top,4392,186015,226729,,,,,,
Sign Top,4393,115477,150868,,,,,,
Sign Top,4394,100547,124173,,,,,,
Sign Top,4395,22045,53060,,,105,36697,,
Sign Bottom,4396,36171,76388,,,,,,
Sign Top,4397,100,10773,,,,,,
Sign Top,4398,62455,73988,,,,,,
Sign Top,4399,12047,58396,,,,,,
Sign Bottom,4400,17181,64412,41701,45151,,,,
Sign Bottom,4401,150246,167815,130295,159497,,,,
Sign Top,4402,160584,167634,130775,151266,,,,
Sign Bottom,4403,7160,23260,27429,65014,,,,
Sign Bottom,4404,21629,59863,,,,,,
Sign Top,4405,100000,129091,,,,,,
Sign Bottom,4406,76147,85457,41435,69302,,,,
Sign Top,4407,54598,94462,,,,,,
Sign Bottom,4408,118026,152450,,,,,,
Sign Top,4409,192300,197050,125250,144597,,,,
Sign Top,4410,104955,134376,,,,,,
Sign Bottom,4411,5037,23994,,,,,,
Sign Top,4412,867,10320,50488,80247,37119,64454,,
Sign Top,4413,3942,45192,,,,,,
Sign Bottom,4414,103642,123650,,,,,,
Sign Top,4415,242349,282819,151,6811,,,,
Sign Bottom,4416,79931,108916,,,,,,
Sign Bottom,4417,3337,28022,,,,,,
Sign Top,4418,28827,54059,,,,,,
Sign Bottom,4419,42700,45342,22440,50923,,,,
Sign Bottom,4420,15063,34896,80000,110277,,,,
Sign Top,4421,31910,78048,,,,,,
Sign Bottom,4422,120496,142235,,,,,,
Sign Bottom,4423,108000,108735,,,,,,
Sign Top,4424,996,6482,,,,,,
Sign Top,4425,36135,37857,,,,,,
Sign Bottom,4426,26590,38038,159919,166048,,,,
Sign Bottom,4427,36000,73093,,,,,,
Sign Top,4428,100902,129079,,,,,,
Sign Top,4429,101000,134342,64000,72564,,,,
Sign Bottom,4430,108289,127540,,,,,,
Sign Top,4431,1821,17767,96789,117128,,,,
Sign Top,4432,102310,135787,13052,33700,,,,
Sign Top,4433,65000,90826,,,,,,
Sign Top,4434,30210,55812,,,,,,
Sign Bottom,4435,38425,83077,63590,77023,,,,
Sign Bottom,4436,134007,174383,,,,,,
Sign Top,4437,100000,144099,,,,,,
Sign Top,4438,9056,14577,87430,121362,,,,
Sign Bottom,4439,87233,128883,800297,814773,,,,
Sign Top,4440,75035,123273,48958,76157,,,,
Sign Top,4441,58083,80113,,,,,,
Sign Top,4442,32172,58031,,,,,,
Sign Bottom,4443,71305,81185,,,,,,
Sign Bottom,4444,129558,179200,206847,233637,,,,
Sign Bottom,4445,63237,85159,30339,70449,,,,
Sign Top,4446,68209,99426,1023,44272,74060,95093,,
Sign Bottom,4447,291644,295328,82670,104936,,,,
Sign Top,4448,20116,45749,75069,119650,,,,
Sign Bottom,4449,6564,6947,,,,,,
Sign Bottom,4450,78656,86834,,,,,,
Sign Bottom,4451,31374,64846,136083,185153,,,,
Sign Top,4452,46364,82545,,,,,,
Sign Bottom,4453,54145,84233,,,,,,
Sign Top,4454,70702,79453,,,,,,
Sign Bottom,4455,19288,64337,,,,,,
Sign Bottom,4456,97038,110674,124718,134548,,,,
Sign Top,4457,113303,150405,,,,,,
Sign Bottom,4458,122734,161711,,,,,,
Sign Bottom,4459,147701,188369,135624,170269,,,,
Sign Bottom,4460,194400,210326,,,,,,
Sign Bottom,4461,314174,350260,6219,28621,86073,135498,,
Sign Bottom,4462,183215,224961,68685,91749,,,,
Sign Top,4463,34000,82090,5000,20949,,,,
Sign Bottom,4464,113153,118580,,,,,,
Sign Top,4465,10996,16979,,,,,,
Sign Top,4466,390,32423,27000,28338,,,,
Sign Bottom,4467,158143,177432,,,,,,
Sign Bottom,4468,18904,29455,13024,17524,103791,105465,96954,106946
Sign Top,4469,49865,51963,139213,177621,,,,
Sign Bottom,4470,46953,56233,,,117592,136961,,
Sign Top,4471,42551,54135,60118,77821,,,,
Sign Bottom,4472,93855,97299,,,,,,
Sign Top,4473,87000,133663,39000,74838,,,,
Sign Bottom,4474,162419,207741,134076,146824,,,,
Sign Top,4475,64036,92544,50730,70604,,,,
Sign Top,4476,84804,104286,,,28235,59904,,
Sign Bottom,4477,36454,56424,70789,75108,58861,100767,,
Sign Bottom,4478,81874,101182,,,,,,
Sign Top,4479,41000,82703,,,,,,
Sign Top,4480,80766,112224,11649,22372,90666,119861,,
Sign Bottom,4481,16576,54465,,,,,,
Sign Bottom,4482,89036,128536,,,,,,
Sign Top,4483,159071,204482,,,,,,
Sign Top,4484,68298,89500,,,,,,
Sign Top,4485,285000,323260,,,,,,
Sign Bottom,4486,62011,72903,,,,,,
Sign Bottom,4487,59,26216,59491,75734,95369,107029,,
Sign Bottom,4488,34947,45747,19553,25178,27320,70032,,
Sign Top,4489,11100,39339,484,11860,,,,
Sign Top,4490,29327,46818,16525,33691,,,,
Sign Top,4491,44912,81685,,,,,,
Sign Top,4492,73100,89951,,,,,,
Sign Bottom,4493,104348,139569,203983,228014,,,,
Sign Top,4494,40,12575,,,,,,
Sign Bottom,4495,58977,67396,29946,55882,,,,
Sign Bottom,4496,78171,122662,,,,,,
Sign Bottom,4497,51435,82877,,,,,,
Sign Bottom,4498,79654,89249,,,,,,
Sign Top,4499,13079,53062,40325,61376,,,,
Sign Top,4500,30864,32547,,,,,,
Sign Top,4501,41869,70282,,,,,,
Sign Bottom,4502,106902,134387,62543,65768,,,,
Sign Top,4503,91561,117402,,,,,,
Sign Top,4504,85000,105274,,,,,,
Sign Bottom,4505,44583,46557,284,24925,,,,
Sign Bottom,4506,96442,123370,,,,,,
Sign Bottom,4507,73474,76176,,,,,,
Sign Top,4508,81905,96581,,,,,,
Sign Top,4509,3016,40868,,,,,,
Sign Top,4510,28000,57539,102000,106780,,,,
Sign Bottom,4511,121872,141492,,,,,4722,49581
Sign Bottom,4512,77700,93559,27200,45188,,,,
Sign Top,4513,19760,60333,,,,,,
Sign Top,4514,29341,32949,,,,,,
Sign Top,4515,265,18167,,,,,,
Sign Bottom,4516,26563,69788,48060,81256,,,,
Sign Bottom,4517,99120,109899,,,,,,
Sign Bottom,4518,151314,182346,,,,,,
Sign Bottom,4519,73500,96894,2828,19696,10390,33848,,
Sign Top,4520,32341,70585,24700,57660,,,,
Sign Top,4521,116000,121892,72000,106064,,,,
Sign Top,4522,50281,94585,111000,138426,,,,
Sign Top,4523,120505,126878,125701,166486,,,,
Sign Bottom,4524,114560,161040,38877,57233,,,,
Sign Top,4525,163785,206387,172807,201920,,,,
Sign Top,4526,40474,73728,37476,45457,,,,
Sign Top,4527,95822,104078,113597,129036,,,,
Sign Bottom,4528,80315,106998,,,,,,
Sign Top,4529,71472,98643,99011,104933,,,,
Sign Bottom,4530,65628,83952,,,,,,
Sign Top,4531,1266,38452,35609,50551,,,,
Sign Top,4532,54480,90365,,,,,,
Sign Top,4533,60367,84156,,,,,,
Sign Bottom,4534,25396,56390,,,,,,
Sign Top,4535,1365,27014,,,,,,
Sign Top,4536,43000,72339,,,,,,
Sign Bottom,4537,66460,113389,63598,89405,,,,
Sign Bottom,4538,69965,79824,66557,77197,,,,
Sign Top,4539,34047,54283,19606,22739,,,,
Sign Top,4540,853,35809,,,,,,
Sign Top,4541,1334,49347,,,,,,
Sign Bottom,4542,41363,63878,101485,138106,,,,
Sign Bottom,4543,37103,78734,,,,,,
Sign Top,4544,47391,57203,,,,,,
Sign Top,4545,97000,143136,,,,,,
Sign Top,4546,2200,44447,1,12344,,,,
Sign Top,4547,44456,63564,,,,,,
Sign Top,4548,12,14237,,,,,,
Sign Top,4549,93982,124465,,,,,,
Sign Top,4550,89531,96618,,,,,,
Sign Bottom,4551,164705,172481,,,,,,
Sign Top,4552,28000,67910,,,132000,152352,,
Sign Top,4553,134708,166441,,,,,,
Sign Bottom,4554,66684,89900,41231,49552,,,,
Sign Top,4555,11391,46508,,,,,,
Sign Top,4556,122,46316,,,,,,
Sign Bottom,4557,36576,41922,57070,73672,,,,
Sign Top,4558,37177,59937,,,,,,
Sign Top,4559,34000,36298,26000,54044,,,,
Sign Top,4560,193000,202962,,,,,,
Sign Bottom,4561,80505,108669,,,,,,
Sign Bottom,4562,83577,90045,,,,,,
Sign Bottom,4563,4,39044,,,,,,
Sign Bottom,4564,75013,98657,133283,149212,,,,
Sign Top,4565,40455,52341,34000,56998,,,,
Sign Bottom,4566,52645,67835,,,,,,
Sign Top,4567,25504,55844,,,,,,
Sign Bottom,4568,59373,87520,52684,79160,,,,
Sign Top,4569,0,4344,105000,105008,,,,
Sign Bottom,4570,19827,47134,13425,23201,103939,139675,97538,122378
Sign Top,4571,85000,94686,,,,,,
Sign Bottom,4572,15058,42405,,,,,,
Sign Top,4573,149440,194206,100128,142938,,,,
Sign Top,4574,107075,151389,,,,,183000,221738
Sign Bottom,4575,51031,68379,,,,,,
Sign Top,4576,75943,91905,,,,,,
Sign Bottom,4577,170573,182219,60821,82640,,,,
Sign Bottom,4578,81523,107273,,,,,,
Sign Bottom,4579,143000,147331,88249,132123,,,,
Sign Bottom,4580,19213,59119,103268,132335,,,,
Sign Top,4581,34000,47246,19000,57534,,,,
Sign Top,4582,46000,85073,28000,68887,,,,
Sign Bottom,4583,73460,102903,,,,,,
Sign Top,4584,72427,114164,,,,,,
Sign Bottom,4585,21974,68167,53623,57050,121965,160463,,
Sign Bottom,4586,55700,99001,,,,,,
Sign Bottom,4587,34652,80180,,,28012,36762,,
Sign Top,4588,5786,11467,24,39619,,,,
Sign Top,4589,47345,77398,,,,,,
Sign Top,4590,119000,140956,7962,11060,,,,
Sign Top,4591,27181,44880,88704,109144,,,,
Sign Top,4592,97000,98162,,,,,,
Sign Bottom,4593,84462,112670,152391,170088,,,,
Sign Top,4594,190413,219713,700,42436,,,,
Sign Top,4595,45479,95316,,,,,,
Sign Top,4596,132470,157276,,,,,,
Sign Bottom,4597,2114,34318,,,,,,
Sign Top,4598,80214,116234,,,,,,
Sign Top,4599,67216,106218,,,,,,
Sign Bottom,4600,15800,56197,,,,,,
Sign Top,4601,28911,68270,102894,129903,,,,
Sign Bottom,4602,97377,107515,,,,,,
Sign Bottom,4603,12689,32644,71894,108317,,,,
Sign Top,4604,19847,29591,5600,53253,,,,
Sign Bottom,4605,195311,207352,,,,,,
Sign Bottom,4606,72483,104780,,,,,,
Sign Top,4607,136000,179689,67348,91433,,,,
Sign Top,4608,11846,60499,,,,,,
Sign Bottom,4609,36307,53202,,,,,,
Sign Bottom,4610,18149,27856,,,,,,
Sign Top,4611,150195,174885,,,,,,
Sign Bottom,4612,113315,117914,,,,,,
Sign Bottom,4613,124317,159724,137165,175185,,,,
Sign Top,4614,92454,116674,,,,,,
Sign Bottom,4615,45228,73917,,,,,,
Sign Top,4616,64443,107420,,,,,,
Sign Bottom,4617,122700,169282,,,,,,
Sign Bottom,4618,28009,36025,37467,54500,,,,
Sign Top,4619,80248,122382,,,,,,
Sign Top,4620,7704,13815,,,,,,
Sign Bottom,4621,28323,43323,,,,,,
Sign Bottom,4622,15833,31258,33984,68781,,,,
Sign Top,4623,25,18657,0,20673,,,,
Sign Bottom,4624,62628,88570,,,,,111151,144307
Sign Bottom,4625,57638,69853,,,,,,
Sign Bottom,4626,66945,84059,230100,243736,,,,
Sign Bottom,4627,59464,92624,148193,182517,,,,
Sign Top,4628,153216,176355,,,,,,
Sign Top,4629,0,5659,,,,,,
Sign Top,4630,49516,88625,,,,,,
Sign Bottom,4631,134531,161538,,,,,,
Sign Top,4632,138644,164850,31898,72385,,,,
Sign Top,4633,105000,140553,,,,,,
Sign Top,4634,41600,60538,473,39874,,,,
Sign Top,4635,46143,83285,533,48609,,,,
Sign Top,4636,29880,57115,,,,,,
Sign Top,4637,42000,88636,,,,,,
Sign Top,4638,101854,145611,,,,,,
Sign Bottom,4639,47766,87500,,,,,,
Sign Bottom,4640,89304,114705,,,,,,
Sign Bottom,4641,146533,194769,,,56169,84806,,
Sign Bottom,4642,27171,44406,151557,177399,,,,
Sign Bottom,4643,168323,170030,20518,29482,,,,
Sign Bottom,4644,52268,100649,77465,91604,,,,
Sign Bottom,4645,5875,23499,,,,,,
Sign Bottom,4646,47546,72314,7997,54771,,,,
Sign Top,4647,56083,93190,166253,176689,,,,
Sign Bottom,4648,94562,113410,88301,136261,96034,102987,,
Sign Bottom,4649,55561,98923,62797,83636,,,,
Sign Bottom,4650,54618,90245,176910,186183,,,,
Sign Bottom,4651,46010,51747,,,,,,
Sign Top,4652,3460,40374,,,,,,
Sign Top,4653,8701,16667,47400,90174,,,,
Sign Top,4654,37649,46400,26083,33477,,,,
Sign Top,4655,180828,195007,,,,,,
Sign Bottom,4656,28340,32223,,,153508,192174,,
Sign Bottom,4657,3005,45694,,,,,,
Sign Top,4658,99907,137160,934,6617,,,,
Sign Top,4659,90750,130006,,,,,,
Sign Top,4660,33943,72759,185457,191691,97230,136706,,
Sign Top,4661,126681,157699,,,,,,
Sign Bottom,4662,56000,59886,75000,96037,,,,
Sign Top,4663,43200,77702,50800,52662,22000,25097,,
Sign Top,4664,23026,47780,,,,,,
Sign Bottom,4665,8278,36351,,,,,,
Sign Top,4666,130653,172168,,,,,,
Sign Top,4667,45889,89901,,,,,,
Sign Top,4668,110100,149048,,,,,,
Sign Bottom,4669,15312,31419,9598,14962,,,,
Sign Bottom,4670,127965,144546,,,,,,
Sign Top,4671,57792,60405,314649,324668,,,,
Sign Top,4672,85000,131707,70000,77754,,,,
Sign Top,4673,50302,65264,,,,,,
Sign Bottom,4674,38588,38715,14092,27134,,,,
Sign Bottom,4675,150363,184937,,,,,,
Sign Bottom,4676,19844,42286,30077,56082,,,,
Sign Top,4677,45571,62400,,,,,,
Sign Top,4678,140991,144801,,,,,,
Sign Top,4679,114,29952,,,,,,
Sign Top,4680,49637,53778,,,4000,10718,,
Sign Top,4681,54046,60481,,,,,,
Sign Top,4682,864,4282,,,,,,
Sign Top,4683,66788,88524,,,,,,
Sign Bottom,4684,4362,15910,,,,,,
Sign Bottom,4685,65842,94517,,,,,,
Sign Top,4686,24776,67971,156315,158784,,,,
Sign Top,4687,10,31716,54536,80540,,,,
Sign Top,4688,95945,127443,186709,215850,,,,
Sign Top,4689,50000,92564,,,,,,
Sign Top,4690,3500,35884,97000,128254,,,,
Sign Top,4691,354,40845,329,30870,,,,
Sign Top,4692,77500,100246,,,,,,
Sign Bottom,4693,44006,73743,,,,,26854,40968
Sign Bottom,4694,88660,93006,,,,,,
Sign Top,4695,158000,172520,150000,168565,,,,
Sign Top,4696,377,11642,,,,,,
Sign Top,4697,39333,85813,85476,130243,,,,
Sign Top,4698,167623,184421,,,,,27445,76391
Sign Top,4699,54953,98245,95470,132611,,,,
Sign Bottom,4700,22912,69190,10242,28476,,,,
Sign Top,4701,7600,31467,79051,112412,,,37,20154
Sign Top,4702,75000,121023,140000,175949,,,,
Sign Bottom,4703,54686,89710,,,,,,
Sign Bottom,4704,7106,8150,,,,,,
Sign Top,4705,197612,217670,78318,100703,,,,
Sign Bottom,4706,19322,67271,,,,,,
Sign Bottom,4707,17183,49419,50255,58285,,,,
Sign Top,4708,35591,57365,15000,20154,3400,7573,,
Sign Top,4709,50301,94913,140161,168177,,,,
Sign Bottom,4710,85657,116264,134256,162940,142974,165701,,
Sign Top,4711,37298,66190,,,,,,
Sign Bottom,4712,122960,153872,,,,,,
Sign Top,4713,49104,90809,,,,,,
Sign Bottom,4714,10650,26836,,,,,,
Sign Top,4715,93862,109028,,,112000,118914,,
Sign Top,4716,42286,74934,11987,40568,,,,
Sign Bottom,4717,100000,128593,,,,,,
Sign Top,4718,43920,54615,59875,67700,,,,
Sign Top,4719,114664,157748,,,,,,
Sign Top,4720,18128,47269,15674,37151,,,,
Sign Bottom,4721,44900,70836,86592,129132,,,,
Sign Bottom,4722,41168,83304,39164,79259,,,,
Sign Bottom,4723,100395,150196,,,100646,120240,,
Sign Top,4724,52948,82561,,,,,,
Sign Bottom,4725,51995,77738,71519,78599,,,,
Sign Bottom,4726,23337,28664,,,,,,
Sign Bottom,4727,150591,157305,,,,,,
Sign Top,4728,4094,34595,,,,,,
Sign Bottom,4729,11465,51072,,,,,,
Sign Top,4730,17543,64058,25783,54933,,,,
Sign Bottom,4731,35629,43738,,,,,,
Sign Bottom,4732,65388,112193,,,,,,
Sign Top,4733,50251,63121,,,203696,229331,,
Sign Top,4734,10,46236,,,,,97000,137855
